school,grade_overall,score_overall,score_environment,score_performance,score_progress,score_additionalcredit,sat_testtakerstotal,sat_criticalreadingmean,sat_mathmean,sat_writingmean,sat_totalmean,safety_mean_nonviolent,safety_mean_property,safety_mean_violent,percent_seniorsapm,ap_highscores3to5,grad_percent,collegeenroll_percent
Thomas A. Edison Career and Technical Education High School,A,70.1,8.7,19.3,37.6,4.5,529,455,490,439,1384,13.67,5.22,3.94,0.43,0.4098361,0.877,0.697
Queens Gateway to Health Sciences Secondary School,B,67.1,6.2,18.2,42.7,0,89,525,532,515,1572,2.77,1.17,0.75,0.573,0.4191177,0.99,0.898
Queens High School for the Sciences at York College,A,72.3,9.6,22,40.7,0,99,613,650,612,1875,1.38,0.8,0.48,0.935,0.8136095,1,0.972
High School for Law Enforcement and Public Safety,B,60,8.3,15.2,32,4.5,62,408,429,412,1249,1.76,0.83,0.59,0.127,,0.785,0.512
"Young Women's Leadership School, Queens",,,,,,,,,,,0,1.82,0.79,0.51,,,0.947,
Queens Preparatory Academy,A,70,7.3,15.1,46.1,1.5,46,372,388,381,1141,,,,0.084,,0.674,0.398
Pathways College Preparatory School: A College Board School,A,72.7,9.4,18.1,42.2,3,42,406,415,394,1215,,,,0.031,,0.803,0.656
Excelsior Preparatory High School,A,73.2,8.7,18.2,41.8,4.5,55,394,358,388,1140,,,,0.066,,0.678,0.436
George Washington Carver High School for the Sciences,A,79.6,9.5,16.6,44.5,9,68,425,435,418,1278,,,,0.272,,0.813,0.65
Preparatory Academy for Writers: A College Board School,B,61.7,9.7,15.2,35.3,1.5,18,413,402,388,1203,,,,0,,0.684,0.45
"Mathematics, Science Research and Technology Magnet High School",C,48.5,5,14.1,29.4,0,59,405,430,405,1240,,,,0.204,0.2580645,0.746,0.455
"Law, Government and Community Service High School",D,41.4,4.3,14.2,19.9,3,60,406,412,391,1209,,,,0.112,,,
"Business, Computer Applications & Entrepreneurship High School",D,46.6,6.1,11.2,29.3,0,52,388,389,380,1157,,,,0.017,,,
Humanities & Arts Magnet High School,C,55.8,7.2,20,27.1,1.5,45,383,371,370,1124,,,,0.074,,0.761,0.515
"Young Women's Leadership School, Astoria",,,,,,,,,,,,1.76,0.83,0.59,,,,
Academy for Careers in Television and Film,,,,,,,,,,,0,,,,,,,
William Cullen Bryant High School,C,56.1,8.2,11.4,30.5,6,322,405,456,408,1269,16.07,5.48,3.44,0.241,0.2939394,0.565,0.434
Long Island City High School,C,55.4,6.3,12.3,32.3,4.5,296,418,434,408,1260,16.07,5.48,3.44,0.177,0.2099379,0.657,0.429
Frank Sinatra School of the Arts High School,A,75.2,6,22.9,43.3,3,153,506,495,499,1500,2.49,1.16,0.75,0.497,0.2794118,0.934,0.836
Information Technology High School,A,70.2,11.5,16.5,36.2,6,140,440,452,424,1316,2.49,1.16,0.75,0.172,0.1756757,0.726,0.489
Newcomers High School,A,80.5,13.7,25,38.8,3,147,343,447,346,1136,2.77,1.17,0.75,0.178,0.8588957,0.726,0.435
Academy of American Studies,A,70.5,8.9,18.7,36.9,6,120,502,505,515,1522,2.49,1.16,0.75,0.535,0.7,0.89,0.813
Baccalaureate School for Global Education,A,71.4,8.5,18.5,44.4,0,64,560,587,570,1717,1.09,0.73,0.5,0.778,,1,0.903
CSI High School for International Studies,A,78.7,10,19.5,46.2,3,,,,,,,,,0.238,,0.941,0.901
Gaynor McCown Expeditionary Learning School,,,,,,,,,,,0,,,,,,,
The Michael J. Petrides School,A,87.6,11.1,23.6,46.9,6,86,508,523,502,1533,5.55,2.17,1.29,0.398,0.2716049,0.866,0.817
New Dorp High School,A,75.7,10.4,16.8,41,7.5,282,431,446,434,1311,,,,0.202,0.5254237,0.756,0.473
Port Richmond High School,B,65.3,8.3,15.1,35.9,6,237,437,442,425,1304,8.48,3.24,2.33,0.154,0.25,0.639,0.414
Curtis High School,B,69.8,8.7,18.1,35.5,7.5,373,439,441,430,1310,13.67,5.22,3.94,0.203,0.3050847,0.698,0.456
Tottenville High School,B,68.4,6.5,16.6,34.8,10.5,698,459,482,467,1408,,,,0.311,0.2998544,0.835,0.639
Susan E. Wagner High School,A,78.7,10.4,20.6,44.7,3,531,463,482,457,1402,14.5,6.06,3.56,0.315,0.4289216,0.812,0.647
Ralph R. McKee Career and Technical Education High School,A,76,9.7,18.4,43.4,4.5,48,411,429,386,1226,1.76,0.83,0.59,0.091,,0.63,0.366
Staten Island Technical High School,A,77.4,10.4,24.1,42.9,0,287,638,673,617,1928,3.69,1.29,1,0.979,0.8939226,1,0.99
Academy for Environmental Leadership,A,84.4,7.1,17.5,52.3,7.5,36,382,369,374,1125,,,,0.061,,0.728,0.382
EBC High School for Public Service - Bushwick,C,48.5,7,11.4,30.1,0,82,389,390,376,1155,1.82,0.79,0.51,0.093,0.203125,0.601,0.448
Bushwick School for Social Justice,A,85.9,10.8,19,51.6,4.5,72,363,364,358,1085,,,,0.072,,0.683,0.55
Academy of Urban Planning,B,66.1,9.4,14.6,37.6,4.5,49,355,361,353,1069,,,,0.035,0.1,0.634,0.252
All City Leadership Secondary School,A,82.4,13.5,15.1,53.8,0,29,394,420,395,1209,1.38,0.8,0.48,0.209,,1,0.581
Bushwick Leaders High School for Academic Excellence,B,64.3,10.8,15.3,36.7,1.5,30,357,345,351,1053,1.38,0.8,0.48,0.06,0.5142857,0.489,0.314
Leadership Village Academy Charter School,,,,,,,,,,,,,,,,,,
