school,grade_overall,score_overall,score_environment,score_performance,score_progress,score_additionalcredit,sat_testtakerstotal,sat_criticalreadingmean,sat_mathmean,sat_writingmean,sat_totalmean,safety_mean_nonviolent,safety_mean_property,safety_mean_violent,percent_seniorsapm,ap_highscores3to5,grad_percent,collegeenroll_percent
EBC/ENY High School for Public Safety & Law,,,,,,,24,376,358,368,1102,,,,0.032,,,
Teachers Preparatory High School,A,76.9,10.3,18.5,45.1,3,59,396,389,389,1174,,,,0.242,,0.736,0.357
Academy of Finance and Enterprise,A,92.4,9.3,20.9,53.2,9,65,407,432,417,1256,,,,0.133,0.2919708,0.906,0.761
High School of Applied Communication,A,78.1,10.5,20.6,42.5,4.5,67,411,420,407,1238,,,,0.119,,0.705,0.644
Civic Leadership Academy,,,,,,,,,,,0,,,,,,,
Pan American International High School,,,,,,,,,,,0,,,,,,0.475,
Bard High School Early College II,A,76.6,12.1,17.8,46.7,0,42,545,548,541,1634,,,,0.52,,0.964,0.96
Newtown High School,C,53.7,8.6,11.2,30.9,3,251,379,427,372,1178,,,,0.11,0.585,0.624,0.465
Grover Cleveland High School,B,60,8.7,10.6,36.2,4.5,269,398,431,391,1220,6.9,2.5,1.45,0.156,0.4087591,0.578,0.385
Middle College High School at LaGuardia Community College,B,65.2,10.1,18,34.1,3,32,386,402,373,1161,,,,,,0.782,0.366
International High School at LaGuardia Community College,A,76.1,14.1,14.2,41.8,6,75,355,428,359,1142,,,,,,0.802,0.475
High School for Arts and Business,A,86.9,10.7,15.1,50.6,10.5,127,363,372,363,1098,,,,0.096,0.228125,0.796,0.478
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",C,51.5,7.5,8.2,32.8,3,49,420,440,421,1281,1.82,0.79,0.51,0.232,,0.746,0.5
Queens Vocational and Technical High School,A,72.8,10.5,13.6,36.7,12,130,415,428,401,1244,5.58,1.79,1.67,0.107,0.7407407,0.767,0.428
Aviation Career & Technical Education High School,A,79,9.8,17.1,40.1,12,289,444,494,427,1365,16.07,5.48,3.44,0.345,0.4357143,0.879,0.65
"Queens School of Inquiry, The",,,,,,,,,,,0,,,,,,,
Flushing International High School,B,64.5,13.9,11.5,39.1,0,57,325,415,311,1051,,,,0.093,,0.587,0.407
East-West School of International Studies,A,79.5,5.6,17.4,47.5,9,50,438,485,442,1365,,,,0.213,,0.843,0.767
World Journalism Preparatory: A College Board School,A,72,8.4,18,39.6,6,56,429,425,421,1275,,,,0.11,0.2068966,0.903,0.768
John Bowne High School,B,61.1,8.3,12.9,36.9,3,302,391,423,389,1203,14.07,5.14,2.57,0.106,0.5065502,0.66,0.383
Flushing High School,C,51.2,8.5,10.5,29.2,3,278,372,398,366,1136,,,,0.085,0.3207547,0.604,0.358
Townsend Harris High School,A,80.4,11.3,24,45.1,0,273,637,644,642,1923,3.69,1.29,1,0.993,0.7851759,1,1
Robert F. Kennedy Community High School,D,46.9,6.8,12.3,24.8,3,61,449,471,462,1382,1.76,0.83,0.59,0.22,0.3839286,0.742,0.487
Benjamin N. Cardozo High School,B,63,8,15.7,31.8,7.5,697,486,551,492,1529,14.5,6.06,3.56,0.467,0.6951965,0.853,0.716
Francis Lewis High School,B,68,9.7,15.8,36.5,6,808,457,530,454,1441,7.6,6.2,2.2,0.467,0.5643756,0.875,0.68
Martin Van Buren High School,C,52.7,5.4,16.6,29.2,1.5,343,402,411,398,1211,13.67,5.22,3.94,0.138,0.1485149,0.643,0.453
Bayside High School,B,69.4,9.2,15.1,31.6,13.5,732,472,531,467,1470,14.5,6.06,3.56,0.503,0.6020408,0.862,0.745
"Queens High School of Teaching, Liberal Arts and the Sciences",B,61.8,8.3,17.3,36.2,0,144,438,455,433,1326,3.69,1.29,1,0.196,,0.881,0.702
Frederick Douglass Academy VI High School,C,51.4,5.5,15.9,30,0,65,393,390,387,1170,,,,0.116,,0.695,0.547
Channel View School for Research,A,85.1,11.3,19.5,51.3,3,63,455,423,420,1298,,,,0.197,0.2608696,0.901,0.704
"Queens High School for Information, Research, and Technology",,,,,,,,,,,0,,,,,,,
Robert H. Goddard High School of Communication Arts and Technology,,,,,,,,,,,0,,,,,,,
Academy of Medical Technology: A College Board School,,,,,,,,,,,0,,,,,,,
Scholars' Academy,,,,,,,,,,,0,5.07,2.18,1.64,,0.4710744,1,
August Martin High School,C,49.6,7.6,10,30.5,1.5,102,377,372,362,1111,,,,0.028,,0.67,0.314
Beach Channel High School,F,37.8,6.1,9.4,22.3,0,114,393,390,380,1163,,,,0.026,,,
Far Rockaway High School,,,,,,,31,350,369,360,1079,,,,0.024,,,
Richmond Hill High School,C,52.1,6,7.9,36.7,1.5,397,380,401,380,1161,,,,0.093,0.3235294,0.586,0.354
John Adams High School,B,60.6,7.7,9.3,34.6,9,302,399,424,404,1227,,,,0.08,0.1964286,0.641,0.33
"High School for Construction Trades, Engineering and Architecture",A,76.1,8.1,15,44,9,87,421,464,424,1309,2.49,1.16,0.75,0.22,0.1926606,0.979,0.593
J.H.S. 157 Stephen A. Halsey,,,,,,,,,,,,5.58,1.79,1.67,,,,
J.H.S. 190 Russell Sage,,,,,,,,,,,,3.69,1.29,1,,,,
York Early College Academy,,,,,,,,,,,,,,,,,,
Queens Collegiate: A College Board School,,,,,,,,,,,0,,,,,,,
Forest Hills High School,A,70.3,6.9,15.3,40.6,7.5,627,468,491,462,1421,14.07,5.14,2.57,0.386,0.4713262,0.844,0.649
Jamaica High School,D,45,7.3,8.6,29.1,0,153,393,400,391,1184,,,,0.074,0.1052632,,
Hillcrest High School,C,57.1,12.4,10.4,32.8,1.5,498,385,400,385,1170,14.07,5.14,2.57,0.133,0.1381215,0.756,0.529
